组,ex2_n,ex2_mean,ex2_win,ex2_med,r2_mean,ex5_n,ex5_mean,ex5_win,ex5_med,r5_mean,ex10_n,ex10_mean,ex10_win,ex10_med,r10_mean,ex20_n,ex20_mean,ex20_win,ex20_med,r20_mean
整体(全部可交易上榜),14758,-0.06941940642363463,45.17549803496409,-0.9336500000000001,0.015766364005962895,14585,-0.934937792252314,40.85704490915324,-2.6544000000000003,-0.8604329859444635,14338,-1.5399769633142697,38.32473148277305,-4.247850000000001,-1.5318826893569535,13794,-2.2808814267072637,35.11671741336813,-6.9573,-2.299540242134261
净卖(d<0),6631,-0.07749264062735632,44.27688131503544,-1.0748,0.017383546976323314,6549,-0.9450805619178502,39.99083829592304,-2.8688000000000002,-0.8731797984425104,6425,-1.5396361867704278,38.038910505836576,-4.165,-1.5327380389105059,6178,-1.9802802363224343,35.302686953706704,-6.68385,-1.9599252023308515
净买(d>=0),8127,-0.0628322751322752,45.90869939707149,-0.8261,0.014446868463147562,8036,-0.9266718641114984,41.562966650074664,-2.4414499999999997,-0.8500448730711797,7913,-1.5402536585365856,38.556805257171746,-4.3161,-1.5311881840010109,7616,-2.524725196953782,34.965861344537814,-7.18805,-2.575031538865547
净买-弱(≤中位正),4072,-0.3891574410609038,43.762278978389,-1.1643000000000001,-0.3025586935166994,4018,-1.5492723743155798,39.54703832752614,-2.83065,-1.4543941015430562,3958,-2.24484085396665,37.34209196563921,-4.52125,-2.2301693532086913,3791,-2.820326536533896,34.81930888947507,-6.7977,-2.8006345819045104
净买-中,2433,0.22449741060419234,47.55445951500206,-0.6081,0.3042341964652692,2410,-0.246525643153527,43.40248962655602,-2.1864000000000003,-0.14886560165975107,2372,-0.5544793001686341,39.713322091062395,-4.3303,-0.41005012647554817,2281,-2.0365607628233233,34.63393248575186,-7.9644,-1.9613942130644453
净买-强(top20%),1622,0.3254062885326757,48.82860665844636,-0.20875,0.375602281134402,1608,-0.3903183457711442,43.843283582089555,-1.7849499999999998,-0.39082027363184074,1583,-1.2556678458622867,39.86102337334176,-3.779,-1.463450979153506,1544,-2.5201127590673575,35.8160621761658,-7.13675,-2.927651748704663
上榜日已大涨(+9.5%+),6707,0.015596943491874148,46.72729983599225,-0.7332,0.08289205307887286,6644,-0.9110388169777242,41.24021673690548,-2.6613499999999997,-0.8514294852498496,6530,-1.4400885298621748,38.72894333843798,-4.53215,-1.398493047473201,6279,-2.105830466634815,34.94186972447842,-7.3263,-2.157530625895843
上榜日-9%大跌(近跌停),2388,-0.11390150753768846,42.29480737018426,-1.1266,-0.02563630653266336,2352,-0.6206858843537416,41.07142857142857,-2.339,-0.496632355442177,2320,-1.5922551293103449,37.71551724137931,-3.82095,-1.6028697844827589,2226,-1.7276037735849057,37.55615453728661,-4.997,-1.5852836477987422
上榜日平稳,5605,-0.10797796610169492,44.69223907225691,-1.0067,-0.0067313826940231455,5532,-0.9984887020968909,40.563991323210416,-2.7064999999999997,-0.9327182574114243,5433,-1.5422498987667954,38.28455733480582,-4.165,-1.5719521258972944,5236,-2.6042194423223832,34.49197860962567,-7.1866,-2.6589691749427042
E1开盘≤平(g≈≤0),8831,-0.029238172347412522,44.75144377760163,-0.9473,0.05363867059223191,8728,-1.0796890123739689,40.19248395967003,-2.7451999999999996,-1.0044574816681942,8563,-1.7144819572579704,38.012378839191875,-4.2367,-1.6676863132079878,8209,-2.5006577415032276,34.58399317821903,-6.784,-2.4625897186015355
E1低开~+3%以内,3413,0.05032932903603869,45.443891004980955,-0.8753000000000001,0.17725839437445065,3382,-0.6521231815493791,41.809580130100535,-2.33855,-0.5341238024837375,3335,-1.2783245577211393,39.250374812593705,-3.6789,-1.3266832383808096,3232,-1.9909982363861385,37.06683168316832,-6.48565,-2.0550860148514856
E1高开+3~7%,1702,-0.060929494712103405,47.23854289071681,-0.6633500000000001,0.035299177438307884,1680,-0.04417767857142863,44.047619047619044,-2.13645,-0.005458035714285693,1659,-0.654401024713683,39.78300180831826,-4.3566,-0.7233955997588909,1604,-1.0021918329177057,35.84788029925187,-7.2033,-1.1360699501246883
E1显著高开>+7%,812,-1.0275385467980296,44.33497536945813,-1.8484,-1.1158438423645323,795,-2.4312489308176097,37.35849056603773,-4.7627999999999995,-2.474130817610063,781,-2.625117797695262,34.69910371318822,-7.6005,-2.6365354673495522,749,-3.8613578104138853,30.97463284379172,-10.5918,-4.05896515353805
无近6日涨停,3928,-0.1142391802443992,43.73727087576375,-1.0058,-0.01659758146639511,3891,-0.4774344127473658,40.78643022359291,-2.3106999999999998,-0.4458762528912877,3833,-0.5657590920949649,39.42081920166971,-3.4618,-0.7135798330289591,3706,-0.724079843497032,37.50674581759309,-5.66725,-0.8782669724770643
