symbol,D,dt_net_buy,dt_net_rate,lianban6d_max,is_limit_D,E1,E1open,gap,Dclose,D_pct,r2,idx_r2,ex2,r5,idx_r5,ex5,r10,idx_r10,ex10,r20,idx_r20,ex20,drop2,drop5,drop10,drop20,drop
000002,2025-12-10,2462336.16,0.00076254,1.0,1,2025-12-11,5.18,-0.0133,5.25,0.1006,-0.030888,-0.003533,-0.027355,-0.042471,-0.003766,-0.038705,-0.081081,0.00802,-0.089101,-0.042471,0.035181,-0.077652,,,,,
000006,2025-10-10,9086149.98,0.00708104,1.0,1,2025-10-13,12.2,0.0218,11.94,0.1005,0.130328,0.010732,0.119595,0.003279,0.005204,-0.001925,0.15082,0.037814,0.113006,-0.002459,0.041847,-0.044306,,,,,
000006,2025-10-15,-10033330.52,-0.00900561,2.0,0,2025-10-16,11.17,-0.0999,12.41,-0.1001,0.095792,-0.016275,0.112068,0.17547,0.000795,0.174675,0.166517,0.034631,0.131887,0.033124,0.012418,0.020706,,,,,
000006,2025-10-16,52878749.66,0.03219487,2.0,0,2025-10-17,11.72,0.0236,11.45,-0.0774,0.025597,-0.015719,0.041317,0.207338,-0.000944,0.208282,0.079352,0.021518,0.057833,-0.013652,0.019818,-0.03347,,,,,
000006,2025-10-21,92705768.38,0.07677235,2.0,1,2025-10-22,13.75,0.0401,13.22,0.0998,0.029091,0.006625,0.022466,-0.068364,0.025337,-0.093701,-0.132364,0.009325,-0.141689,-0.165818,-0.001712,-0.164106,,,,,
000007,2025-12-16,2950712.36,0.00278034,1.0,0,2025-12-17,12.0,0.0,12.0,0.0336,-0.041667,0.011783,-0.053449,-0.015,0.026882,-0.041882,-0.031667,0.03367,-0.065337,-0.060833,0.055926,-0.11676,,,,,
000007,2026-05-12,-73429876.0,-0.18043896,1.0,0,2026-05-13,14.7,-0.0101,14.85,-0.1,-0.12517,-0.000981,-0.124189,-0.160544,-0.013526,-0.147018,-0.168027,0.005778,-0.173805,-0.106803,-0.023908,-0.082895,,,,,
000007,2026-05-13,-130272028.47,-0.09849666,1.0,0,2026-05-14,13.7,0.0133,13.52,-0.0896,-0.073723,-0.033425,-0.040298,-0.088321,-0.035194,-0.053128,-0.125547,-0.023763,-0.101785,0.010219,-0.055503,0.065722,,,,,
000007,2026-07-07,-27022269.13,-0.13307633,0.0,0,2026-07-08,11.81,0.019,11.59,-0.1002,-0.081287,0.01495,-0.096237,-0.138019,-0.001661,-0.136357,-0.249788,-0.013582,-0.236206,-0.214225,-0.042367,-0.171858,,,,,
000007,2026-09-07,-37804795.0,-0.1551609,0.0,0,2026-09-08,11.5,0.0,11.5,-0.0741,,,,,,,,,,,,,无未来行情,无未来行情,无未来行情,无未来行情,
000008,2026-03-31,172717865.52,0.18818689,2.0,1,2026-04-01,3.6,0.1009,3.27,0.101,-0.133333,-0.008491,-0.124842,-0.205556,0.01733,-0.222885,-0.252778,0.037185,-0.289963,-0.25,0.064879,-0.314879,,,,,
000008,2026-04-03,-20906565.59,-0.02132506,2.0,0,2026-04-07,2.78,-0.0107,2.81,-0.0994,0.028777,0.033671,-0.004894,-0.014388,0.045052,-0.05944,-0.021583,0.070083,-0.091666,-0.017986,0.102263,-0.120249,,,,,
000009,2026-07-31,362524375.65,0.24239158,2.0,1,2026-08-03,7.98,0.014,7.87,0.1007,-0.008772,0.008574,-0.017346,0.015038,0.029072,-0.014034,-0.010025,0.022812,-0.032837,-0.090226,0.010382,-0.100608,,,,,
000010,2026-05-07,-2303393.0,-0.31445415,0.0,0,,,-0.0498,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000010,2026-05-12,-26075381.0,-0.04270669,0.0,0,2026-05-13,2.73,0.0,2.73,0.05,-0.047619,-0.000981,-0.046638,-0.047619,-0.013526,-0.034093,-0.263736,0.005778,-0.269514,-0.10989,-0.023908,-0.085982,,,,,
000010,2026-05-22,-8945068.33,-0.03733556,0.0,0,2026-05-25,2.2,-0.0135,2.23,-0.0511,-0.086364,0.015319,-0.101683,-0.045455,0.003883,-0.049338,0.027273,-0.011548,0.038821,-0.118182,0.038263,-0.156445,,,,,
000010,2026-05-27,-4390300.0,-0.04005246,0.0,0,2026-05-28,1.84,-0.0366,1.91,-0.0498,0.141304,0.000584,0.14072,0.195652,0.010133,0.185519,0.255435,-0.028772,0.284207,-0.01087,0.02676,-0.03763,,,,,
000010,2026-06-01,-869249.0,-0.01347815,0.0,0,,,0.0498,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000010,2026-06-09,1284911.59,0.00567719,0.0,0,2026-06-10,2.31,-0.0494,2.43,0.0519,-0.051948,-0.00646,-0.045488,-0.090909,0.027585,-0.118495,-0.17316,0.039954,-0.213114,-0.199134,0.000509,-0.199643,,,,,
000010,2026-06-17,-5935581.0,-0.03510261,0.0,0,2026-06-18,1.98,-0.01,2.0,-0.0476,-0.020202,0.029213,-0.049415,-0.080808,0.021167,-0.101976,-0.050505,-0.021104,-0.029401,-0.085859,-0.044265,-0.041593,,,,,
000010,2026-07-02,-250096.0,-0.0028522,0.0,0,2026-07-03,1.85,-0.016,1.88,0.0503,-0.043243,0.006757,-0.05,-0.016216,0.013892,-0.030108,-0.021622,-0.023093,0.001471,-0.183784,-0.054014,-0.12977,,,,,
000011,2025-10-24,3375955.34,0.0069843,1.0,0,2025-10-27,10.29,-0.0058,10.35,-0.0841,0.07483,-0.001577,0.076407,0.084548,-0.012494,0.097042,-0.011662,-0.004381,-0.007281,-0.076774,-0.052299,-0.024474,,,,,
