symbol,type,date,price,shares,cost,pnl
600638,buy,2024-07-04,49.2333,1000,49245.59,
600638,sell,2024-07-09,44.9905,1000,,-4311.37
600638,buy,2024-07-10,44.7575,1100,49245.59,
600638,sell,2024-08-01,55.6334,550,,5938.1
600638,sell,2024-09-27,57.9108,275,,3594.56
600638,sell,2024-09-30,64.0067,137,,2624.95
600638,sell,2024-10-08,68.2738,69,,1617.0
600638,sell,2024-10-09,62.6656,34,,606.97
600638,sell,2024-10-10,57.0574,17,,208.76
600638,sell,2024-10-11,55.9601,9,,101.01
600638,sell,2024-10-14,56.6916,4,,48.48
600638,sell,2024-10-15,57.0574,2,,24.97
600638,sell,2024-10-16,55.8382,1,,11.77
600638,sell,2024-10-17,57.7889,1,,13.72
600638,sell,2024-10-18,55.5944,0,,0.0
600638,sell,2024-10-21,56.082,0,,0.0
600638,sell,2024-10-22,55.8382,0,,0.0
600638,sell,2024-10-23,56.6916,0,,0.0
600638,sell,2024-10-24,56.3259,0,,0.0
600638,sell,2024-10-25,56.8135,0,,0.0
600638,sell,2024-10-28,57.667,0,,0.0
600638,sell,2024-10-29,60.9587,0,,0.0
600638,sell,2024-10-30,58.5204,0,,0.0
600638,sell,2024-10-31,61.2026,0,,0.0
600638,sell,2024-11-01,61.9341,0,,0.0
600638,sell,2024-11-04,60.8368,0,,0.0
600638,sell,2024-11-05,63.8847,0,,0.0
600638,sell,2024-11-06,66.0793,0,,0.0
600638,sell,2024-11-07,71.8094,0,,0.0
600638,sell,2024-11-08,70.7121,0,,0.0
600638,sell,2024-11-11,66.2012,0,,0.0
600638,sell,2024-11-12,65.7135,0,,0.0
600638,sell,2024-11-13,65.3478,0,,0.0
600638,sell,2024-11-14,67.2984,0,,0.0
600638,sell,2024-11-15,64.1286,0,,0.0
600638,sell,2024-11-18,63.0313,0,,0.0
600638,sell,2024-11-19,62.7875,0,,0.0
600638,sell,2024-11-20,63.2752,0,,0.0
600638,sell,2024-11-21,64.6162,0,,0.0
600638,sell,2024-11-22,64.2505,0,,0.0
600638,sell,2024-11-25,62.6656,0,,0.0
600638,sell,2024-11-26,63.2752,0,,0.0
600638,sell,2024-11-27,63.3971,0,,0.0
600638,sell,2024-11-28,63.6409,0,,0.0
600638,sell,2024-11-29,65.5916,0,,0.0
600638,sell,2024-12-02,67.0546,0,,0.0
600638,sell,2024-12-03,68.7614,0,,0.0
600638,sell,2024-12-04,70.7121,0,,0.0
600638,sell,2024-12-05,69.371,0,,0.0
600638,sell,2024-12-06,69.9806,0,,0.0
600638,sell,2024-12-09,70.956,0,,0.0
600638,sell,2024-12-10,72.7847,0,,0.0
600638,sell,2024-12-11,69.6149,0,,0.0
600638,sell,2024-12-12,71.6875,0,,0.0
600638,sell,2024-12-13,80.0998,0,,0.0
600638,sell,2024-12-16,74.9792,0,,0.0
600638,sell,2024-12-17,72.297,0,,0.0
600638,sell,2024-12-18,69.0053,0,,0.0
600638,sell,2024-12-19,68.2738,0,,0.0
600638,sell,2024-12-20,68.6395,0,,0.0
600638,sell,2024-12-23,67.4203,0,,0.0
600638,sell,2024-12-24,64.0067,0,,0.0
600638,sell,2024-12-25,63.7628,0,,0.0
600638,sell,2024-12-26,61.8121,0,,0.0
600638,sell,2024-12-27,62.5437,0,,0.0
600638,sell,2024-12-30,64.0067,0,,0.0
600638,sell,2024-12-31,62.9094,0,,0.0
600638,buy,2025-07-04,70.8482,700,49606.14,
600612,buy,2026-07-07,34.7735,1400,48695.04,
600638,buy,2026-07-07,4.5205,11000,49737.4,
600795,buy,2026-07-08,4.6705,10700,49986.49,
600629,buy,2026-07-08,11.4611,4300,49295.25,
603499,buy,2026-07-09,12.9013,3800,49037.16,
601633,buy,2026-07-10,15.0715,3300,49748.41,
601369,buy,2026-07-13,9.961,5000,49817.43,
600686,buy,2026-07-13,11.3511,4400,49957.48,
600629,sell,2026-07-14,14.4386,2150,,6357.09
002065,buy,2026-07-14,7.0007,7100,49717.4,
600415,buy,2026-07-14,10.051,4900,49262.24,
600629,sell,2026-07-15,13.6686,1075,,2352.41
603499,sell,2026-07-15,11.8088,3800,,-4219.74
601369,sell,2026-07-15,9.0091,5000,,-4828.24
601369,buy,2026-07-16,9.0109,5500,49572.35,
603499,buy,2026-07-16,12.1112,4100,49668.38,
600686,sell,2026-07-20,10.309,4400,,-4654.72
603499,sell,2026-07-20,10.9889,4100,,-4670.2
600638,buy,2024-07-04,49.2333,1000,49245.59,
600638,sell,2024-07-09,44.9905,1000,,-4311.37
